date,publication,sentiment
2016-07-31,Mashable,-0.2421652421651436
2016-08-31,Mashable,-0.2608695652172998
2016-09-30,Mashable,-0.2395959595958628
2016-10-31,Mashable,-0.2838050314464293
2016-11-30,Mashable,-0.2655527906149074
2016-12-31,Mashable,-0.19676806083640838
2017-01-31,Mashable,-0.25309876049570046
2017-02-28,Mashable,-0.10681318681313987
2017-03-31,Mashable,-0.24066543438068738
2017-04-30,Mashable,-0.21347201584932468
2017-05-31,Mashable,-0.20265521280741794
2017-06-30,Mashable,-0.1548507462685845
2017-07-31,Mashable,-0.1847780126849113
2017-08-31,Mashable,-0.20584926884131766
2017-09-30,Mashable,-0.2006079027354607
2017-10-31,Mashable,-0.2638512204570849
2017-11-30,Mashable,-0.19698981850367553
2017-12-31,Mashable,-0.20307495195374564
2018-01-31,Mashable,-0.2111553784859356
2018-02-28,Mashable,-0.11702127659568244
2018-03-31,Mashable,-0.1363907087551302
2018-04-30,Mashable,-0.11639344262285542
2018-05-31,Mashable,-0.1711491442541741
2018-06-30,Mashable,-0.14472822527822873
2018-07-31,Mashable,-0.14615384615375246
2018-08-31,Mashable,-0.0006146281499688908
2018-09-30,Mashable,-0.18607764390884465
2018-10-31,Mashable,-0.09035409035403519
2018-11-30,Mashable,0.025608194622262735
2018-12-31,Mashable,-0.046961325966818394
2019-01-31,Mashable,-0.047619047619013775
2019-02-28,Mashable,0.0009149130832562535
2019-03-31,Mashable,-0.08312757201639248
2019-04-30,Mashable,-0.0551075268816834
2019-05-31,Mashable,-0.00868192580899078
2019-06-30,Mashable,0.11002921129492695
2019-07-31,Mashable,0.011472275334597062
2019-08-31,Mashable,-0.11133004926097406
2019-09-30,Mashable,-0.06680161943313077
2019-10-31,Mashable,-0.11046511627900554
2019-11-30,Mashable,0.0786369593708528
2019-12-31,Mashable,-0.07173725151247042
2020-01-31,Mashable,0.008403361344529969
2020-02-29,Mashable,-0.02097902097900264
2020-03-31,Mashable,-0.11751662971166481
2016-01-31,Business Insider,-0.3323657474596047
2016-02-29,Business Insider,-0.34526854219904696
2016-03-31,Business Insider,-0.37947494033367607
2016-04-30,Business Insider,-0.22058823529379326
2016-05-31,Business Insider,-0.2713472485763352
2016-06-30,Business Insider,-0.3202846975083269
2016-07-31,Business Insider,-0.2564841498555382
2016-08-31,Business Insider,-0.26134585289473966
2016-09-30,Business Insider,-0.3651226158033173
2016-10-31,Business Insider,-0.2698907956314042
2016-11-30,Business Insider,-0.3379073756426451
2016-12-31,Business Insider,-0.1672597864762731
2017-01-31,Business Insider,-0.33783783783707694
2017-02-28,Business Insider,-0.2722646310425642
2017-03-31,Business Insider,-0.362745098038623
2017-04-30,Business Insider,-0.33014354066906665
2017-05-31,Business Insider,-0.28783382789274803
2017-06-30,Business Insider,-0.3291024478691486
2017-07-31,Business Insider,-0.12562814070320194
2017-08-31,Business Insider,-0.38950715421241733
2017-09-30,Business Insider,-0.20361990950180178
2017-10-31,Business Insider,0.014634146341427722
2017-11-30,Business Insider,-0.474626865670225
2017-12-31,Business Insider,-0.0652920962197069
2018-01-31,Business Insider,-0.0979020979017556
2018-02-28,Business Insider,-0.17030567685515152
2018-03-31,Business Insider,-0.0161812297734366
2018-04-30,Business Insider,-0.3160621761649843
2018-05-31,Business Insider,-0.3493975903603934
2018-06-30,Business Insider,-0.30569948186449303
2018-07-31,Business Insider,-0.30218068535778475
2018-08-31,Business Insider,-0.08131241084153878
2018-09-30,Business Insider,-0.32705882352864224
2018-10-31,Business Insider,-0.44887348353475065
2018-11-30,Business Insider,-0.36991150442412407
2018-12-31,Business Insider,-0.3630769230763645
2019-01-31,Business Insider,-0.032581453634003554
2019-02-28,Business Insider,-0.33481152993273877
2019-03-31,Business Insider,-0.35152487961420303
2019-04-30,Business Insider,-0.056726094003149555
2019-05-31,Business Insider,-0.04065040650398242
2019-06-30,Business Insider,-0.11920529801304768
2019-07-31,Business Insider,-0.24823720846137692
2019-08-31,Business Insider,-0.2692141490215279
2019-09-30,Business Insider,-0.24316390323456138
2019-10-31,Business Insider,-0.1575148656961182
2019-11-30,Business Insider,-0.1240068389821923
2019-12-31,Business Insider,-0.15938578740625167
2020-01-31,Business Insider,-0.19171794120518645
2020-02-29,Business Insider,-0.1417331321405399
2020-03-31,Business Insider,-0.2736608705799817
2020-04-30,Business Insider,-0.6825396825288487
2016-01-31,The Verge,-0.10235507246372176
2016-02-29,The Verge,-0.14506298252736893
2016-03-31,The Verge,-0.08480692890650134
2016-04-30,The Verge,-0.17626154939581512
2016-05-31,The Verge,-0.06631063640406484
2016-06-30,The Verge,-0.17360496014164145
2016-07-31,The Verge,-0.1349353049906955
2016-08-31,The Verge,-0.114785992217843
2016-09-30,The Verge,-0.21484374999989508
2016-10-31,The Verge,-0.17481922586126125
2016-11-30,The Verge,-0.24105898745924706
2016-12-31,The Verge,-0.18029650884735518
2017-01-31,The Verge,-0.19116321009910228
2017-02-28,The Verge,-0.26289308176089604
2017-03-31,The Verge,-0.21818181818173193
2017-04-30,The Verge,-0.1722141823443453
2017-05-31,The Verge,-0.12919463087242902
2017-06-30,The Verge,-0.1422018348623201
2017-07-31,The Verge,-0.10890151515146358
2017-08-31,The Verge,-0.26127912741682635
2017-09-30,The Verge,-0.23272727272716695
2017-10-31,The Verge,-0.17914438502665814
2017-11-30,The Verge,-0.14100647732927704
2017-12-31,The Verge,-0.20653218059548198
2018-01-31,The Verge,-0.1886240066916819
2018-02-28,The Verge,-0.1985123198511397
2018-03-31,The Verge,-0.27620902304437644
2018-04-30,The Verge,-0.2705018359852018
2018-05-31,The Verge,-0.26816829579249124
2018-06-30,The Verge,-0.22465208747505977
2018-07-31,The Verge,-0.23239139603533007
2018-08-31,The Verge,-0.22238695329865737
2018-09-30,The Verge,-0.29330254041553505
2018-10-31,The Verge,-0.2613496932514269
2018-11-30,The Verge,-0.2703972661254718
2018-12-31,The Verge,-0.20565942395138673
2019-01-31,The Verge,-0.19846350832257856
2019-02-28,The Verge,-0.2416130125380408
2019-03-31,The Verge,-0.3512490537470283
2019-04-30,The Verge,-0.28235294117634285
2019-05-31,The Verge,-0.23694779116456346
2019-06-30,The Verge,-0.20930232558130352
2019-07-31,The Verge,-0.2899850523167825
2019-08-31,The Verge,-0.32762312633818946
2019-09-30,The Verge,-0.14747634069394816
