month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,GDP,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_Politico,publication_Reuters,publication_The Hill,publication_The Verge,publication_Vice News,publication_Washington Post,publication_Wired
2016-05-01,0.18332739,0.23829487,0.19597097,0.37966895,0.17899217,0.22279699,0.30455709,0.30677357,0.25307098,0.23575775,2016-05-31,-0.0663106364040648,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-05-01,0.279473,0.18959159,0.24152309,0.18537684,0.23697227,0.17659444,0.20595254,0.2394468,0.18953744,0.3329202,2016-05-31,-0.7066898349260897,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-05-01,0.20081687,0.25398296,0.20881242,0.32267717,0.2029317,0.20867944,0.3346062,0.29529715,0.28210896,0.2729383,2016-05-31,-0.1839762611274599,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-06-01,0.30640402,0.2563107,0.2604832,0.20008844,0.26114494,0.16804545,0.24909842,0.26616108,0.21887985,0.28361198,2016-06-30,-0.6160307175424486,2016-06-01,99.87118,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.16974579,0.19263655,0.19753243,0.24653378,0.23201077,0.347946,0.21885513,0.2575659,0.18592049,0.2295519,2016-06-30,-0.3608978145302062,2016-06-01,99.87118,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.3353701,0.2900603,0.34542793,0.23006415,0.33296,0.19062869,0.28598195,0.30658868,0.21757339,0.3359129,2016-06-30,-0.5177684371415675,2016-06-01,99.87118,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.20108694,0.22011541,0.23829107,0.24229062,0.27992806,0.26697174,0.253852,0.28193226,0.25986242,0.31455067,2016-06-30,-0.468718295569755,2016-06-01,99.87118,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.1926972,0.1805263,0.14704622,0.18191682,0.18813422,0.13811561,0.30153584,0.100451216,0.12688306,0.14143556,2016-06-30,-0.0136986301367986,2016-06-01,99.87118,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.21712294,0.266129,0.21949983,0.35711142,0.20002288,0.21004505,0.32983023,0.3217348,0.29218194,0.2952818,2016-06-30,-0.1534246575341765,2016-06-01,99.87118,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.20776697,0.30907053,0.19225262,0.31197026,0.21369988,0.24691205,0.31612659,0.33817655,0.58689433,0.2524129,2016-06-30,-0.3826496301276453,2016-06-01,99.87118,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-06-01,0.22639437,0.312567,0.20306839,0.28367642,0.20298666,0.19090174,0.35527316,0.28122833,0.27784294,0.25562865,2016-06-30,-0.1271703425621177,2016-06-01,99.87118,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-06-01,0.29998222,0.28160334,0.39145356,0.23920341,0.4178799,0.22105062,0.31458402,0.321803,0.26245877,0.3066041,2016-06-30,-0.4912489379778264,2016-06-01,99.87118,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-06-01,0.27707502,0.34715208,0.22581282,0.23759414,0.24108456,0.18857399,0.36766478,0.24424697,0.36184126,0.2766224,2016-06-30,-0.4686078252955812,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-06-01,0.3091094,0.24412973,0.46184307,0.22119047,0.4840122,0.20591532,0.24819408,0.31177318,0.2062605,0.2921469,2016-06-30,-0.5210605088730978,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-06-01,0.15584348,0.15321955,0.15035222,0.18454367,0.14599186,0.3144308,0.15048522,0.19331196,0.15150549,0.20159256,2016-06-30,-0.47868623340288,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-06-01,0.27675274,0.2010996,0.40654477,0.23623748,0.43941993,0.2222995,0.22219144,0.30606726,0.19307077,0.29005474,2016-06-30,-0.4625585023399132,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-06-01,0.18545763,0.23761085,0.19604267,0.3742571,0.18196161,0.2248288,0.3084126,0.30081633,0.25183722,0.23958285,2016-06-30,-0.1736049601416414,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-01,0.28060997,0.20003098,0.2355884,0.17725182,0.24636148,0.15497252,0.21059944,0.23751828,0.19099827,0.32249248,2016-06-30,-0.6837721984077546,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-06-01,0.20041358,0.24305089,0.20915805,0.31295088,0.20382139,0.19654015,0.3140875,0.2934857,0.26495942,0.26161873,2016-06-30,-0.2756632064588952,2016-06-01,99.87118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-07-01,0.3181995,0.26738963,0.31349736,0.22176176,0.30999514,0.18248597,0.27416474,0.29475433,0.22914675,0.29421887,2016-07-31,-0.5688301742292612,2016-07-01,99.86028,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.18204899,0.19027446,0.2017434,0.2447416,0.22594394,0.3406222,0.20843522,0.25081307,0.18597421,0.21635824,2016-07-31,-0.3238938053095434,2016-07-01,99.86028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.33261064,0.3017586,0.3338146,0.24702385,0.34655547,0.19674642,0.31385994,0.33171803,0.24837944,0.34013113,2016-07-31,-0.514568599716969,2016-07-01,99.86028,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.2176748,0.2393659,0.25041813,0.24790317,0.29018444,0.26733696,0.25653437,0.28452867,0.2533731,0.32790953,2016-07-31,-0.4750101584720692,2016-07-01,99.86028,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.15324324,0.18078536,0.18270941,0.23842035,0.18914965,0.19311234,0.3466184,0.19707346,0.16742119,0.20310542,2016-07-31,-0.3137254901930026,2016-07-01,99.86028,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.23147494,0.26638904,0.2332983,0.34455174,0.20549437,0.20234086,0.33322,0.31804436,0.29181492,0.3041088,2016-07-31,-0.2110894941633214,2016-07-01,99.86028,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.21168655,0.30429065,0.19246668,0.3150533,0.21855071,0.24339056,0.32069054,0.34275463,0.58366466,0.24788268,2016-07-31,-0.37658142664862,2016-07-01,99.86028,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-07-01,0.2337119,0.31671685,0.21572301,0.2852338,0.2147901,0.18475689,0.35002366,0.29256728,0.28377667,0.27258357,2016-07-31,-0.2421652421651436,2016-07-01,99.86028,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
